	GO:0016071	GO:0000776
0610012G03Rik	0	0
1110059G10Rik	0	0
1700028K03Rik	0	0
1700030K09Rik	0	0
1700056E22Rik	0	0
1700066M21Rik	0	0
1700067K01Rik	0	0
2210016F16Rik	0	0
2310039H08Rik	0	0
2410131K14Rik	0	0
2700049A03Rik	0	0
3110001I22Rik	0	0
3110040N11Rik	0	0
4930432K21Rik	0	0
4930451I11Rik	0	0
4930562C15Rik	0	0
5730480H06Rik	0	0
9530068E07Rik	0	0
A430005L14Rik	0	0
Aarsd1	0	0
Abca12	0	0
Abcb1b	0	0
Abcb8	0	0
Abcb9	0	0
Abcf3	0	0
Abhd17b	0	0
Accsl	0	0
Acp6	0	0
Acsl3	0	0
Actn3	0	0
Actr2	0	0
Adck5	0	0
Adpgk	0	0
Adtrp	0	0
Afap1l2	0	0
Agk	0	0
Ahctf1	0	1
Aldoa	0	0
Alg11	0	0
Alkbh6	0	0
Alkbh7	0	0
Amdhd2	0	0
Anapc10	0	0
Angel2	0	0
Angptl2	0	0
Ankrd33b	0	0
Ankrd37	0	0
Ankrd54	0	0
Anln	0	0
Anxa7	0	0
Ap3m1	0	0
Aph1c	0	0
Araf	0	0
Arap1	0	0
Arfgap1	0	0
Arfrp1	0	0
Arhgap12	0	0
Arhgef16	0	0
Arl14ep	0	0
Arrdc1	0	0
Arrdc2	0	0
Arvcf	0	0
Asf1b	0	0
Atad1	0	0
Atf6	0	0
Atl2	0	0
Atmin	0	0
Atp13a2	0	0
Atp5g1	0	0
Atp9a	0	0
Atxn2l	0	0
AU022751	0	0
Auh	1	0
Aurkc	0	0
B3galnt2	0	0
Babam1	0	0
Bace2	0	0
Baiap2l1	0	0
Bap1	0	0
Bbs5	0	0
Bcdin3d	0	0
Bcl2l10	0	0
Bend5	0	0
Birc3	0	0
Bmi1	0	0
Bmpr1b	0	0
Bnip1	0	0
Bod1	0	1
Brf1	0	0
Brix1	0	0
Brox	0	0
Btbd10	0	0
Btf3	0	0
Bub1b	0	1
C2cd3	0	0
C2cd5	0	0
C330018D20Rik	0	0
C87499	0	0
C8b	0	0
Cactin	1	0
Caml	0	0
Camsap3	0	0
Car9	0	0
Cbx2	0	0
Cc2d1a	0	0
Ccdc107	0	0
Ccdc117	0	0
Ccdc120	0	0
Ccdc14	0	0
Ccdc141	0	0
Ccdc47	0	0
Ccdc69	0	0
Ccdc90b	0	0
Ccdc92	0	0
Ccnb1	0	0
Ccndbp1	0	0
Cdc20	0	0
Cdc27	0	0
Cdc34	0	0
Cdc40	1	0
Cdc42ep2	0	0
Cdc45	0	0
Cdc6	0	0
Cdca8	0	0
Cdh1	0	0
Cdh15	0	0
Cdk20	0	0
Cdkn2aipnl	0	0
Cdt1	0	0
Cenpa	0	1
Cenpe	0	1
Cenpj	0	0
Cenpn	0	1
Cenpo	0	1
Cep55	0	0
Cep57l1	0	0
Cep63	0	0
Cep78	0	0
Cept1	0	0
Cgas	0	0
Chadl	0	0
Chaf1a	0	0
Chchd6	0	0
Chst11	0	0
Ciz1	0	0
Ckb	0	0
Cks1b	0	0
Clasrp	1	0
Clk1	0	0
Clk3	0	0
Clpp	0	0
Cltb	0	0
Cmpk1	0	0
