# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-09-21 20:13:32-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:34-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 10727
# number of attributes: 17443
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 642
# Number of entities in query: 634
# Total number of entities: 10727
# Total number of attributes: 17443
# Original total number of attributes: 20222
# Translation required: yes
# Translation coverage: 0.999517
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
12	43	0.807165996826607	4.61215858588677e-06	0.009	GO:0051082	unfolded protein binding
35	136	0.765647280303137	5.34854116254165e-14	<0.001	GO:0043209	myelin sheath
18	88	0.630068925192134	2.9858138069856e-06	0.006	GO:0006457	protein folding
32	240	0.407818890864933	1.23490252687336e-05	0.032	GO:0051640	organelle localization
59	509	0.34501152726483	4.00082190350258e-07	<0.001	GO:0019904	protein domain specific binding
72	654	0.32316856233218	1.53786017972027e-07	<0.001	GO:0044702	single organism reproductive process
59	539	0.315659776397923	2.66452077123992e-06	0.006	GO:0022402	cell cycle process
73	679	0.311258562187663	3.20720161422775e-07	<0.001	GO:0051641	cellular localization
75	699	0.3109414664377	2.35482435742058e-07	<0.001	GO:0022414	reproductive process
64	596	0.307510483140645	1.8961192857839e-06	0.004	GO:1902582	single-organism intracellular transport
71	710	0.273210138785579	6.66376724272876e-06	0.012	GO:0046907	intracellular transport
72	724	0.270675961250327	6.93775928276968e-06	0.012	GO:0003723	RNA binding
89	920	0.261894247823398	1.63381870895215e-06	0.004	GO:0050790	regulation of catalytic activity
80	823	0.261448191580131	4.89761764075879e-06	0.009	GO:0033043	regulation of organelle organization
127	1354	0.258804855794286	3.61668013583177e-08	<0.001	GO:0032268	regulation of cellular protein metabolic process
128	1367	0.25824118914405	3.48325155819587e-08	<0.001	GO:0000166	nucleotide binding
128	1367	0.25824118914405	3.48325155819587e-08	<0.001	GO:1901265	nucleoside phosphate binding
81	839	0.258221981686592	5.51480374599574e-06	0.009	GO:0071822	protein complex subunit organization
135	1470	0.250189644598	4.38040334183433e-08	<0.001	GO:0051246	regulation of protein metabolic process
522	7822	0.249729842732706	6.91137467651464e-09	<0.001	GO:0044424	intracellular part
476	6853	0.243517308277715	3.51635794338094e-10	<0.001	GO:0005488	binding
