# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-09-21 13:58:58-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:34-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 6330
# number of attributes: 14778
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	AKT3 OPA1
GO:0000003	reproduction	EIF4H LEPR STAT3 TEX19.1
GO:0000012	single strand break repair	APLF LIG4 SIRT1 SMC2 SMC4 TDP1 XRCC1
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	DCLRE1C MRE11A PTBP1 RBBP8
GO:0000018	regulation of DNA recombination	APLF ATAD5 BLM CHEK1 EXOSC3 FANCB FIGNL1 HELB KDM1A KLHL15 LIG3 MSH2 MSH3 MSH6 NDFIP1 PAXIP1 PMS2 PPP4C PPP4R2 RAD18 RAD50 RAD51 RAD51AP1 RECQL5 RIF1 RPA2 SETD2 SIRT6 SMARCAD1 SPIDR STAT6 SUPT6 TERF2 TEX15 THOC1 TRP53BP1 UBE2B UNG WRN ZRANB3
GO:0000019	regulation of mitotic recombination	BLM RAD50 TERF2
GO:0000027	ribosomal large subunit assembly	DDX28 DHX30 FASTKD2 RPL11 RPL24 RPL5
GO:0000028	ribosomal small subunit assembly	ERAL1 RPS14 RPS15 RPS19 RPS2 RPS25
GO:0000030	mannosyltransferase activity	ALG1 ALG2 ALG3 DPM2 PIGM
GO:0000033	alpha-1,3-mannosyltransferase activity	ALG2 ALG3
GO:0000038	very long-chain fatty acid metabolic process	ABCD3 ACOT3 ELOVL1 ELOVL5 ELOVL7 HACD2 HSD17B4 PEX5 TECR
GO:0000041	transition metal ion transport	AP3B1 AP3D1 ARHGAP1 ATOX1 ATP2C1 ATP7A B2M CLTC DNM2 FTH1 LMTK2 MYO1B PICALM SLC11A2 SLC30A3 SLC30A5 SLC31A1 SLC39A10 SLC39A6 STEAP2 STEAP4 TCN2
GO:0000042	protein targeting to Golgi	BICD2 OPTN PACS1 RAB6A SORL1
GO:0000045	autophagosome assembly	AMBRA1 ATG101 ATG12 ATG14 ATG16L1 ATG3 ATG4B ATG5 ATG7 ATG9A BECN1 CTSD EMC6 PACS2 PIK3C3 PSEN1 RAB23 RAB7 RB1CC1 STX12 TRP53INP2 UBQLN1 ULK1
GO:0000049	tRNA binding	AARS AIMP1 ALKBH1 CARS EEF1A1 EEFSEC EIF2A EIF2AK4 FARS2 FARSA IARS KARS METTL1 MRPS27 NSUN3 RARS RPL6 SEPSECS SSB TERT TRMT10C TRMT11 TRMT1L TRNAU1AP TRNT1 TYW5 XPO5
GO:0000050	urea cycle	ARG2 CPS1 HTT
GO:0000052	citrulline metabolic process	ALDH18A1 HTT PADI6
GO:0000054	ribosomal subunit export from nucleus	NMD3 NPM1 RAN RPS15 XPO1
GO:0000055	ribosomal large subunit export from nucleus	NMD3 NPM1 RAN XPO1
GO:0000056	ribosomal small subunit export from nucleus	NPM1 RAN RPS15 XPO1
GO:0000060	protein import into nucleus, translocation	AGAP3 AKT1 ARNTL CEP57 GCKR NFKBIA PHB2 POLA2 RAN RBM22 SEC61B TRP53
GO:0000062	fatty-acyl-CoA binding	ACADM ACBD3 ACBD5 ACBD6 ACOT7 DBI HADHA HADHB PITPNA SCP2 SOAT1
GO:0000064	L-ornithine transmembrane transporter activity	SLC25A15 SLC7A2
GO:0000070	mitotic sister chromatid segregation	BUB3 CIT ESPL1 INO80 KNSTRN MAD2L1 NDC80 NEK2 NUSAP1 PLK1 SPAG5 ZFP207 ZW10 ZWINT
GO:0000075	cell cycle checkpoint	APC ATF2 ATR BCL2L1 BIRC5 BLM BRCA1 BUB1 CDK1 CDT1 CENPE CEP192 CHEK1 CHFR CLOCK CLSPN D7ERTD443E DNA2 DONSON E2F1 EIF2AK4 FBXO31 GIGYF2 HUS1 IK INTS3 KHDC3 KNTC1 MAD2L1 MAD2L1BP MRE11A MSH2 MTBP NABP2 NAE1 NSUN2 PLK1 PTPN11 RAD1 RAD17 RBBP8 RFWD3 RHNO1 RPA2 RPL24 RPS27L RPS6 SPDL1 SYF2 TAOK1 TAOK2 TAOK3 TERF1 TEX14 TICRR TIPIN TIPRL TPR TRP53 TRRAP TTK USP28 VPS4A WAC XPC ZFP207 ZFP830 ZW10 ZWILCH ZWINT
GO:0000076	DNA replication checkpoint	CDT1 CLSPN DNA2 NAE1 TICRR TIPIN ZFP830
GO:0000077	DNA damage checkpoint	ATF2 ATR BLM CDK1 CHEK1 CLOCK CLSPN D7ERTD443E DONSON E2F1 EIF2AK4 FBXO31 GIGYF2 HUS1 MRE11A MSH2 PTPN11 RAD1 RAD17 RBBP8 RFWD3 RHNO1 RPA2 RPS27L SYF2 TAOK1 TAOK2 TAOK3 TIPIN TIPRL TRP53 USP28 WAC XPC ZFP830
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	ADAM17 AKT1 APC BCCIP BLM CCNB1 CCNB3 CCNL1 CDC6 CDK5RAP1 CNPPD1 EGFR FBXO7 GTPBP4 HEXIM2 HHEX LATS1 LMNB1 MNAT1 PIM1 PLK1 PSMD10 PSRC1 WEE2
GO:0000080	mitotic G1 phase	SYCP2
GO:0000082	G1/S transition of mitotic cell cycle	ACVR1B ANP32B CAMK2G CCNE1 CCNE2 CDC25A CRLF3 E2F5 EIF4E IQGAP3 ITGB1 MNAT1 PHF8 PIAS1 POLE PPP3CA RB1 RBBP8 RCC1 RPS6 RPS6KB1 SKP2 TAF10 TRIM71 USP37
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	BRD4 E2F1 E2F4 ESRRB KLF11 NPAT RB1
GO:0000086	G2/M transition of mitotic cell cycle	ABCB1A ARPP19 BIRC5 BRSK2 CALM1 CALM2 CCNA2 CHEK1 CIT FOXM1 LATS1 MASTL PLCB1 PLK1 PPM1D SKP2 TAF2
GO:0000089	mitotic metaphase	CDC20
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	SLC25A26
GO:0000096	sulfur amino acid metabolic process	APIP CDO1 CPS1 CSAD CTH ENOPH1 GCLC GCLM MPST MRI1 MTHFD1 MTR PCYOX1
GO:0000097	sulfur amino acid biosynthetic process	APIP CTH ENOPH1 MRI1 MTHFD1 MTR
GO:0000098	sulfur amino acid catabolic process	CDO1 CSAD PCYOX1
GO:0000103	sulfate assimilation	PAPSS1
GO:0000104	succinate dehydrogenase activity	SDHA SDHAF4 SDHB SDHC SDHD
GO:0000105	histidine biosynthetic process	MTHFD1
GO:0000109	nucleotide-excision repair complex	CETN2 RAD23B XPC XRCC1 XRCC4
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	ESRRB
GO:0000118	histone deacetylase complex	CBX5 CHD4 CHD5 GATAD2A HDAC2 HDAC3 HDAC4 HDAC6 HDAC8 HINT1 MBD2 MBD3 MORF4L1 MTA1 NRIP1 PHF12 RBBP4 RBBP7 RERE SAP30 SAP30L SIN3A SUDS3 ZFP217 ZFP541
GO:0000120	RNA polymerase I transcription factor complex	TAF1A TAF1B TAF1D TBP
