transcript,p_val,conf_mid,maternal_x,paternal_x,maternal_y,paternal_y,diff_is_sufficient,fdr
Idh3g-201,4.3628105978742625e-27,0.47619047619047616,11,10,263,0,1,3.145586441067343e-24
Slc6a8-203,4.547391373011315e-09,0.49029126213592233,5,5,102,1,1,8.196672949852896e-07
Wtap-203,3.107706587743605e-08,-0.5882352941176471,10,7,0,51,1,4.481312899526278e-06
Ddx3x-201,4.302609572259398e-07,0.5925925925925926,11,16,36,0,1,5.170302502665044e-05
Slc13a2-201,1.577286558852832e-06,0.597254004576659,2,21,52,24,1,0.00016246051556184169
Huwe1-201,1.9318032862873383e-05,0.36363636363636365,14,8,54,0,1,0.0017410377117664637
Tsen2-201,3.159633600483217e-05,0.43738819320214667,6,37,30,22,1,0.002531217584387111
Tmppe-201,4.1593545435653274e-05,0.5983333333333334,9,16,23,1,1,0.0027262678417369103
Lclat1-201,4.065614314171429e-05,-0.31386554621848745,50,18,59,81,1,0.0027262678417369103
Klhdc4-201,0.00037880856024695756,-0.5925925925925926,11,0,88,128,1,0.022760080994838033
Cbx3-201,0.000427824854219827,-0.5714285714285714,12,2,14,35,1,0.02372782460711502
Snrnp70-201,0.0005165444220894829,-0.5137614678899083,15,0,53,56,1,0.02660203773760837
Tgoln1-201,0.0006596874319828912,0.5975609756097561,0,11,49,33,1,0.029727164903729036
Ddb1-201,0.0006184726074319384,-0.3697735191637631,32,9,23,33,1,0.029727164903729036
Nop14-201,0.0011289976835370354,0.42380204241948155,4,15,85,49,1,0.045222629435011256
Rps11-201,0.0012482847018122618,0.1337392176916693,49,105,4258,5164,1,0.04736911947403372
Stip1-201,0.0017944633116857712,-0.15726131666498644,78,34,764,653,1,0.06301830147669883
Lyar-201,0.001835484509030063,-0.4564459930313589,11,3,54,110,1,0.06301830147669883
Rpl38-203,0.0019940329439542604,0.15296929582643876,44,67,1992,1634,1,0.06534989784504644
Noc2l-201,0.0021378076879322045,0.18692961055389895,31,53,293,234,1,0.06701562360865737
Atp6v0a4-202,0.0026876261774262038,0.4218266253869969,4,15,43,25,1,0.0745299413047805
Ppp2ca-201,0.00266835405643337,-0.5666666666666667,9,1,19,38,1,0.0745299413047805
Pgd-201,0.0026225692722381994,0.28484848484848485,12,23,145,86,1,0.0745299413047805
Ctsc-201,0.0031871045945944857,0.334788384892769,6,16,582,376,1,0.08510749676676385
Ankrd10-201,0.0038503968041642745,0.2541751012145749,14,24,259,157,1,0.09849492995246605
Mrto4-201,0.004098263382210792,0.308098016336056,7,18,504,353,1,0.09849492995246605
Srpk1-204,0.0040403953014140105,-0.5205882352941176,8,2,19,49,1,0.09849492995246605
Ccnh-201,0.004343494680308936,0.4879227053140096,0,11,101,106,1,0.10102127950008848
Bcat1-201,0.004778928323048305,-0.28460038986354774,26,1,116,55,1,0.10767522877868213
Ccar1-201,0.005448865396848743,0.3991228070175439,4,12,74,40,1,0.11904945306448314
Scaf4-201,0.005775498089305214,-0.5666666666666667,11,1,7,13,1,0.12217879696841187
Sdf4-201,0.005931009561573391,-0.38652482269503546,15,0,173,109,1,0.12217879696841187
Dnmt1-201,0.0063774735040885355,0.43103448275862066,0,14,25,33,1,0.12534601494934472
Ulk1-201,0.006432458464806871,-0.42242703533026116,17,4,12,19,1,0.12534601494934472
Actr5-201,0.00699972418438507,0.33416875522138684,6,15,106,65,1,0.1328105562353062
Mtf1-201,0.007632362662253148,0.44417651314203044,2,9,236,141,1,0.1384399295273203
Umps-201,0.007680439918297937,-0.36235294117647054,15,2,156,144,1,0.1384399295273203
Rtf2-201,0.009038972019144685,0.30588235294117644,7,14,326,184,1,0.15895362989764192
Plk1-201,0.010661464008104674,0.30984517665740374,5,17,123,106,1,0.16065985355876336
Cth-201,0.00996311723922049,0.20413573700954402,8,38,155,255,1,0.16065985355876336
Atp13a3-202,0.00973771827094956,-0.20040160642570282,46,14,94,72,1,0.16065985355876336
Ppat-202,0.010695801623884385,-0.26025824964132,29,12,38,47,1,0.16065985355876336
Atg7-201,0.010092027418915435,0.36925287356321834,2,14,86,88,1,0.16065985355876336
Eprs-201,0.012442808321611718,-0.27758571016997985,19,7,121,146,1,0.17942529599764098
Znrf2-201,0.01319639576997025,-0.40289413556740283,10,3,37,64,1,0.18427757872700826
Gmnn-201,0.013290477245221123,-0.3991769547325103,12,0,146,97,1,0.18427757872700826
Wdr48-201,0.013852584932205049,-0.5016835016835016,10,1,11,16,1,0.18562512446641577
Ddx52-201,0.013902575202755134,-0.35233918128654973,12,4,68,103,1,0.18562512446641577
