transcript,p_val,conf_mid,maternal_x,paternal_x,maternal_y,paternal_y,diff_is_sufficient,fdr
Rps11-201,0.0009867124048782657,0.21729611384783798,16,47,1435,1610,1,0.0580690890072636
Mrps9-201,0.0010333130619986529,-0.6081081081081081,10,0,29,45,1,0.0580690890072636
Mysm1-201,0.001367583117438087,-0.5074626865671642,14,0,33,34,1,0.0580690890072636
Ddx21-201,0.0013711592848748544,-0.43846153846153846,18,2,30,35,1,0.0580690890072636
Nin-202,0.00032400315643902364,-0.3899456521739131,25,7,36,56,1,0.0580690890072636
Rpl28-201,0.0011534308853680107,0.5238095238095238,0,12,132,120,1,0.0580690890072636
Tsr1-201,0.0015181461178369567,-0.4352941176470588,12,5,23,62,1,0.0580690890072636
Eif3d-201,0.00133323293712685,-0.536231884057971,11,1,35,57,1,0.0580690890072636
Baz1a-205,0.0021204965393254067,0.39935064935064934,6,22,27,17,1,0.07209688233706382
Ncoa3-201,0.0024573273110369874,0.6174242424242424,7,17,10,1,1,0.07519421571773181
Ctsa-202,0.0027168625711865325,-0.403921568627451,16,1,137,118,1,0.0755781769802799
Cdc42-202,0.0030526874794137874,-0.5757575757575757,10,1,11,22,1,0.07784353072505158
Brca2-201,0.003691194083638077,0.21013071895424834,25,43,130,95,1,0.08688502996871167
Folr1-204,0.005778044712217925,-0.28120978120978124,25,5,143,116,1,0.12629154870990608
Znhit3-201,0.00760206157981081,-0.473421926910299,10,0,634,570,1,0.1550820562281405
Rpl26-206,0.010202303443339932,-0.33461538461538465,15,3,389,391,1,0.1825708465538045
Ccnb1-201,0.009551571512888771,-0.28450423517688095,21,6,110,113,1,0.1825708465538045
Rnpep-202,0.016104273412365533,-0.4666666666666667,13,0,8,7,1,0.19118895470915603
Naalad2-204,0.017494414156393363,0.4163636363636364,4,7,39,11,1,0.19118895470915603
Tpx2-206,0.012513432618952196,-0.3010033444816054,18,8,36,56,1,0.19118895470915603
Cdk1-201,0.017182133425177652,0.3308080808080809,4,14,73,59,1,0.19118895470915603
Pemt-202,0.016528750264309437,-0.2872869318181818,15,7,101,155,1,0.19118895470915603
Pa2g4-202,0.01644416965376607,-0.3585434173669467,15,2,33,30,1,0.19118895470915603
Rps19-203,0.013633692639755966,0.22360660173160174,8,27,955,1157,1,0.19118895470915603
Sgo2a-201,0.013525020087020743,-0.5217391304347826,10,0,11,12,1,0.19118895470915603
Cct6a-201,0.019225327426669644,0.26587301587301587,7,21,65,61,1,0.19242036155178324
Dctd-203,0.019910429392370543,-0.38701298701298703,10,4,18,37,1,0.19242036155178324
Spdl1-201,0.019320191437585708,0.2830523513753328,1,22,16,33,1,0.19242036155178324
