,ref_count,alt_count,total_count,cds_ref_count,cds_alt_count,cds_total_count
20210513-ITP-1cell-cross-50-A,7876,102,8121,7876,102,8121
20210513-ITP-1cell-cross-50-B,9623,92,9864,9623,92,9864
20210513-ITP-1cell-cross-50-C,5716,60,5908,5716,60,5908
20210513-ITP-1cell-cross-50-D,6993,85,7255,6993,85,7255
20210513-ITP-1cell-cross-50-E,8124,112,8460,8124,112,8460
20210513-ITP-2cell-cross-50-B,7788,1062,9001,7788,1062,9001
20210513-ITP-2cell-cross-50-C,4316,223,4640,4316,223,4640
20210513-ITP-2cell-cross-50-F,5543,434,6129,5543,434,6129
20210513-ITP-4cell-cross-50-B,3275,2728,6217,3275,2728,6217
20210513-ITP-4cell-cross-50-C,2584,2184,5015,2584,2184,5015
20210513-ITP-4cell-cross-50-D,3764,3385,7293,3764,3385,7293
20210513-ITP-8cell-cross-50-A,3614,3174,6907,3614,3174,6907
20210513-ITP-8cell-cross-50-B,6329,6200,12751,6329,6200,12751
20210513-ITP-8cell-cross-50-C,4909,4612,9690,4909,4612,9690
20210513-ITP-8cell-cross-50-D,4116,3523,7781,4116,3523,7781
20210301-ITP-MII-25-B,5603,59,5771,5603,59,5771
20210301-ITP-MII-50-A,7494,72,7666,7494,72,7666
20210301-ITP-MII-50-B,7982,69,8160,7982,69,8160
20210318-ITP-MII-50-B,10896,118,11192,10896,118,11192
20210614-ITP-MII-50-D,6029,69,6239,6029,69,6239
20210614-ITP-GV-50-A,9182,86,9429,9182,86,9429
20210614-ITP-GV-50-B,7049,102,7290,7049,102,7290
20210614-ITP-GV-50-C,10015,131,10448,10015,131,10448
20210614-ITP-GV-50-D,6012,118,6387,6012,118,6387
20210614-ITP-GV-50-E,11930,117,12289,11930,117,12289
20210614-ITP-GV-50-F,9109,96,9353,9109,96,9353
